scenario_id,plan_id,source_id,name,year,period,available_months,period_fraction,capacity_t_per_year,reserved_capacity_t,reserved_period_t,ordered_t,planned_delivery_t,actual_delivery_t,delivery_share,price_mln_per_t,price_multiplier,payable_volume_t,take_or_pay_idle_t,procurement_mln,reservation_payment_mln,take_or_pay_topup_mln
MANDATORY_STRESS,P4_full_adapted,B,Earth-Flex,2034,prep,1,1.000000,110.000000,12.909800,12.909800,12.909800,12.909800,12.328859,1.000000,8.900000,1.000000,12.909800,0.000000,114.897220,1.936470,0.000000
MANDATORY_STRESS,P4_full_adapted,A,Earth-Core,2035,year,12,1.000000,190.000000,109.876000,109.876000,109.876000,109.876000,109.876000,1.000000,6.200000,1.000000,109.876000,0.000000,681.231200,49.444200,0.000000
MANDATORY_STRESS,P4_full_adapted,B,Earth-Flex,2035,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,C,Earth-New,2035,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,D,Lunar-ISRU,2035,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,E,Emergency,2035,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,A,Earth-Core,2036,year,12,1.000000,190.000000,153.052000,153.052000,153.051800,153.051800,153.051800,1.000000,6.200000,1.000000,153.051800,0.000000,948.921160,68.873400,0.000000
MANDATORY_STRESS,P4_full_adapted,B,Earth-Flex,2036,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,C,Earth-New,2036,year,0,0.000000,130.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,7.100000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,D,Lunar-ISRU,2036,year,0,0.000000,120.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,E,Emergency,2036,year,12,1.000000,80.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,13.800000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
MANDATORY_STRESS,P4_full_adapted,A,Earth-Core,2037,year,12,1.000000,190.000000,190.000000,190.000000,190.000000,190.000000,190.000000,1.000000,6.200000,1.000000,190.000000,0.000000,1178.000000,85.500000,0.000000
MANDATORY_STRESS,P4_full_adapted,B,Earth-Flex,2037,year,12,1.000000,110.000000,0,0.000000,0.000000,0.000000,0.000000,1.000000,8.900000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
